tanggal,tahun,bulan,nama_bulan,kuartal,hari,hari_dalam_minggu,akhir_pekan
2022-08-18,2022,8,August,Q3,18,Thursday,False
2022-08-19,2022,8,August,Q3,19,Friday,False
2022-08-20,2022,8,August,Q3,20,Saturday,True
2022-08-21,2022,8,August,Q3,21,Sunday,True
2022-08-22,2022,8,August,Q3,22,Monday,False
2022-08-23,2022,8,August,Q3,23,Tuesday,False
2022-08-24,2022,8,August,Q3,24,Wednesday,False
2022-08-25,2022,8,August,Q3,25,Thursday,False
2022-08-26,2022,8,August,Q3,26,Friday,False
2022-08-27,2022,8,August,Q3,27,Saturday,True
2022-08-28,2022,8,August,Q3,28,Sunday,True
2022-08-29,2022,8,August,Q3,29,Monday,False
2022-08-30,2022,8,August,Q3,30,Tuesday,False
2022-08-31,2022,8,August,Q3,31,Wednesday,False
2022-09-01,2022,9,September,Q3,1,Thursday,False
2022-09-02,2022,9,September,Q3,2,Friday,False
2022-09-03,2022,9,September,Q3,3,Saturday,True
2022-09-04,2022,9,September,Q3,4,Sunday,True
2022-09-05,2022,9,September,Q3,5,Monday,False
2022-09-06,2022,9,September,Q3,6,Tuesday,False
2022-09-07,2022,9,September,Q3,7,Wednesday,False
2022-09-08,2022,9,September,Q3,8,Thursday,False
2022-09-09,2022,9,September,Q3,9,Friday,False
2022-09-10,2022,9,September,Q3,10,Saturday,True
2022-09-11,2022,9,September,Q3,11,Sunday,True
2022-09-12,2022,9,September,Q3,12,Monday,False
2022-09-13,2022,9,September,Q3,13,Tuesday,False
2022-09-14,2022,9,September,Q3,14,Wednesday,False
2022-09-15,2022,9,September,Q3,15,Thursday,False
2022-09-16,2022,9,September,Q3,16,Friday,False
2022-09-17,2022,9,September,Q3,17,Saturday,True
2022-09-18,2022,9,September,Q3,18,Sunday,True
2022-09-19,2022,9,September,Q3,19,Monday,False
2022-09-20,2022,9,September,Q3,20,Tuesday,False
2022-09-21,2022,9,September,Q3,21,Wednesday,False
2022-09-22,2022,9,September,Q3,22,Thursday,False
2022-09-23,2022,9,September,Q3,23,Friday,False
2022-09-24,2022,9,September,Q3,24,Saturday,True
2022-09-25,2022,9,September,Q3,25,Sunday,True
2022-09-26,2022,9,September,Q3,26,Monday,False
2022-09-27,2022,9,September,Q3,27,Tuesday,False
2022-09-28,2022,9,September,Q3,28,Wednesday,False
2022-09-29,2022,9,September,Q3,29,Thursday,False
2022-09-30,2022,9,September,Q3,30,Friday,False
2022-10-01,2022,10,October,Q4,1,Saturday,True
2022-10-02,2022,10,October,Q4,2,Sunday,True
2022-10-03,2022,10,October,Q4,3,Monday,False
2022-10-04,2022,10,October,Q4,4,Tuesday,False
2022-10-05,2022,10,October,Q4,5,Wednesday,False
2022-10-06,2022,10,October,Q4,6,Thursday,False
2022-10-07,2022,10,October,Q4,7,Friday,False
2022-10-08,2022,10,October,Q4,8,Saturday,True
2022-10-09,2022,10,October,Q4,9,Sunday,True
2022-10-10,2022,10,October,Q4,10,Monday,False
2022-10-11,2022,10,October,Q4,11,Tuesday,False
2022-10-12,2022,10,October,Q4,12,Wednesday,False
2022-10-13,2022,10,October,Q4,13,Thursday,False
2022-10-14,2022,10,October,Q4,14,Friday,False
2022-10-15,2022,10,October,Q4,15,Saturday,True
2022-10-16,2022,10,October,Q4,16,Sunday,True
2022-10-17,2022,10,October,Q4,17,Monday,False
2022-10-18,2022,10,October,Q4,18,Tuesday,False
2022-10-19,2022,10,October,Q4,19,Wednesday,False
2022-10-20,2022,10,October,Q4,20,Thursday,False
2022-10-21,2022,10,October,Q4,21,Friday,False
2022-10-22,2022,10,October,Q4,22,Saturday,True
2022-10-23,2022,10,October,Q4,23,Sunday,True
2022-10-24,2022,10,October,Q4,24,Monday,False
2022-10-25,2022,10,October,Q4,25,Tuesday,False
2022-10-26,2022,10,October,Q4,26,Wednesday,False
2022-10-27,2022,10,October,Q4,27,Thursday,False
2022-10-28,2022,10,October,Q4,28,Friday,False
2022-10-29,2022,10,October,Q4,29,Saturday,True
2022-10-30,2022,10,October,Q4,30,Sunday,True
2022-10-31,2022,10,October,Q4,31,Monday,False
2022-11-01,2022,11,November,Q4,1,Tuesday,False
2022-11-02,2022,11,November,Q4,2,Wednesday,False
2022-11-03,2022,11,November,Q4,3,Thursday,False
2022-11-04,2022,11,November,Q4,4,Friday,False
2022-11-05,2022,11,November,Q4,5,Saturday,True
2022-11-06,2022,11,November,Q4,6,Sunday,True
2022-11-07,2022,11,November,Q4,7,Monday,False
2022-11-08,2022,11,November,Q4,8,Tuesday,False
2022-11-09,2022,11,November,Q4,9,Wednesday,False
2022-11-10,2022,11,November,Q4,10,Thursday,False
2022-11-11,2022,11,November,Q4,11,Friday,False
2022-11-12,2022,11,November,Q4,12,Saturday,True
2022-11-13,2022,11,November,Q4,13,Sunday,True
2022-11-14,2022,11,November,Q4,14,Monday,False
2022-11-15,2022,11,November,Q4,15,Tuesday,False
2022-11-16,2022,11,November,Q4,16,Wednesday,False
2022-11-17,2022,11,November,Q4,17,Thursday,False
2022-11-18,2022,11,November,Q4,18,Friday,False
2022-11-19,2022,11,November,Q4,19,Saturday,True
2022-11-20,2022,11,November,Q4,20,Sunday,True
2022-11-21,2022,11,November,Q4,21,Monday,False
2022-11-22,2022,11,November,Q4,22,Tuesday,False
2022-11-23,2022,11,November,Q4,23,Wednesday,False
2022-11-24,2022,11,November,Q4,24,Thursday,False
2022-11-25,2022,11,November,Q4,25,Friday,False
2022-11-26,2022,11,November,Q4,26,Saturday,True
2022-11-27,2022,11,November,Q4,27,Sunday,True
2022-11-28,2022,11,November,Q4,28,Monday,False
2022-11-29,2022,11,November,Q4,29,Tuesday,False
2022-11-30,2022,11,November,Q4,30,Wednesday,False
2022-12-01,2022,12,December,Q4,1,Thursday,False
2022-12-02,2022,12,December,Q4,2,Friday,False
2022-12-03,2022,12,December,Q4,3,Saturday,True
2022-12-04,2022,12,December,Q4,4,Sunday,True
2022-12-05,2022,12,December,Q4,5,Monday,False
2022-12-06,2022,12,December,Q4,6,Tuesday,False
2022-12-07,2022,12,December,Q4,7,Wednesday,False
2022-12-08,2022,12,December,Q4,8,Thursday,False
2022-12-09,2022,12,December,Q4,9,Friday,False
2022-12-10,2022,12,December,Q4,10,Saturday,True
2022-12-11,2022,12,December,Q4,11,Sunday,True
2022-12-12,2022,12,December,Q4,12,Monday,False
2022-12-13,2022,12,December,Q4,13,Tuesday,False
2022-12-14,2022,12,December,Q4,14,Wednesday,False
2022-12-15,2022,12,December,Q4,15,Thursday,False
2022-12-16,2022,12,December,Q4,16,Friday,False
2022-12-17,2022,12,December,Q4,17,Saturday,True
2022-12-18,2022,12,December,Q4,18,Sunday,True
2022-12-19,2022,12,December,Q4,19,Monday,False
2022-12-20,2022,12,December,Q4,20,Tuesday,False
2022-12-21,2022,12,December,Q4,21,Wednesday,False
2022-12-22,2022,12,December,Q4,22,Thursday,False
2022-12-23,2022,12,December,Q4,23,Friday,False
2022-12-24,2022,12,December,Q4,24,Saturday,True
2022-12-25,2022,12,December,Q4,25,Sunday,True
2022-12-26,2022,12,December,Q4,26,Monday,False
2022-12-27,2022,12,December,Q4,27,Tuesday,False
2022-12-28,2022,12,December,Q4,28,Wednesday,False
2022-12-29,2022,12,December,Q4,29,Thursday,False
2022-12-30,2022,12,December,Q4,30,Friday,False
2022-12-31,2022,12,December,Q4,31,Saturday,True
2023-01-01,2023,1,January,Q1,1,Sunday,True
2023-01-02,2023,1,January,Q1,2,Monday,False
2023-01-03,2023,1,January,Q1,3,Tuesday,False
2023-01-04,2023,1,January,Q1,4,Wednesday,False
2023-01-05,2023,1,January,Q1,5,Thursday,False
2023-01-06,2023,1,January,Q1,6,Friday,False
2023-01-07,2023,1,January,Q1,7,Saturday,True
2023-01-08,2023,1,January,Q1,8,Sunday,True
2023-01-09,2023,1,January,Q1,9,Monday,False
2023-01-10,2023,1,January,Q1,10,Tuesday,False
2023-01-11,2023,1,January,Q1,11,Wednesday,False
2023-01-12,2023,1,January,Q1,12,Thursday,False
2023-01-13,2023,1,January,Q1,13,Friday,False
2023-01-14,2023,1,January,Q1,14,Saturday,True
2023-01-15,2023,1,January,Q1,15,Sunday,True
2023-01-16,2023,1,January,Q1,16,Monday,False
2023-01-17,2023,1,January,Q1,17,Tuesday,False
2023-01-18,2023,1,January,Q1,18,Wednesday,False
2023-01-19,2023,1,January,Q1,19,Thursday,False
2023-01-20,2023,1,January,Q1,20,Friday,False
2023-01-21,2023,1,January,Q1,21,Saturday,True
2023-01-22,2023,1,January,Q1,22,Sunday,True
2023-01-23,2023,1,January,Q1,23,Monday,False
2023-01-24,2023,1,January,Q1,24,Tuesday,False
2023-01-25,2023,1,January,Q1,25,Wednesday,False
2023-01-26,2023,1,January,Q1,26,Thursday,False
2023-01-27,2023,1,January,Q1,27,Friday,False
2023-01-28,2023,1,January,Q1,28,Saturday,True
2023-01-29,2023,1,January,Q1,29,Sunday,True
2023-01-30,2023,1,January,Q1,30,Monday,False
2023-01-31,2023,1,January,Q1,31,Tuesday,False
2023-02-01,2023,2,February,Q1,1,Wednesday,False
2023-02-02,2023,2,February,Q1,2,Thursday,False
2023-02-03,2023,2,February,Q1,3,Friday,False
2023-02-04,2023,2,February,Q1,4,Saturday,True
2023-02-05,2023,2,February,Q1,5,Sunday,True
2023-02-06,2023,2,February,Q1,6,Monday,False
2023-02-07,2023,2,February,Q1,7,Tuesday,False
2023-02-08,2023,2,February,Q1,8,Wednesday,False
2023-02-09,2023,2,February,Q1,9,Thursday,False
2023-02-10,2023,2,February,Q1,10,Friday,False
2023-02-11,2023,2,February,Q1,11,Saturday,True
2023-02-12,2023,2,February,Q1,12,Sunday,True
2023-02-13,2023,2,February,Q1,13,Monday,False
2023-02-14,2023,2,February,Q1,14,Tuesday,False
2023-02-15,2023,2,February,Q1,15,Wednesday,False
2023-02-16,2023,2,February,Q1,16,Thursday,False
2023-02-17,2023,2,February,Q1,17,Friday,False
2023-02-18,2023,2,February,Q1,18,Saturday,True
2023-02-19,2023,2,February,Q1,19,Sunday,True
2023-02-20,2023,2,February,Q1,20,Monday,False
2023-02-21,2023,2,February,Q1,21,Tuesday,False
2023-02-22,2023,2,February,Q1,22,Wednesday,False
2023-02-23,2023,2,February,Q1,23,Thursday,False
2023-02-24,2023,2,February,Q1,24,Friday,False
2023-02-25,2023,2,February,Q1,25,Saturday,True
2023-02-26,2023,2,February,Q1,26,Sunday,True
2023-02-27,2023,2,February,Q1,27,Monday,False
2023-02-28,2023,2,February,Q1,28,Tuesday,False
2023-03-01,2023,3,March,Q1,1,Wednesday,False
2023-03-02,2023,3,March,Q1,2,Thursday,False
2023-03-03,2023,3,March,Q1,3,Friday,False
2023-03-04,2023,3,March,Q1,4,Saturday,True
2023-03-05,2023,3,March,Q1,5,Sunday,True
2023-03-06,2023,3,March,Q1,6,Monday,False
2023-03-07,2023,3,March,Q1,7,Tuesday,False
2023-03-08,2023,3,March,Q1,8,Wednesday,False
2023-03-09,2023,3,March,Q1,9,Thursday,False
2023-03-10,2023,3,March,Q1,10,Friday,False
2023-03-11,2023,3,March,Q1,11,Saturday,True
2023-03-12,2023,3,March,Q1,12,Sunday,True
2023-03-13,2023,3,March,Q1,13,Monday,False
2023-03-14,2023,3,March,Q1,14,Tuesday,False
2023-03-15,2023,3,March,Q1,15,Wednesday,False
2023-03-16,2023,3,March,Q1,16,Thursday,False
2023-03-17,2023,3,March,Q1,17,Friday,False
2023-03-18,2023,3,March,Q1,18,Saturday,True
2023-03-19,2023,3,March,Q1,19,Sunday,True
2023-03-20,2023,3,March,Q1,20,Monday,False
2023-03-21,2023,3,March,Q1,21,Tuesday,False
2023-03-22,2023,3,March,Q1,22,Wednesday,False
2023-03-23,2023,3,March,Q1,23,Thursday,False
2023-03-24,2023,3,March,Q1,24,Friday,False
2023-03-25,2023,3,March,Q1,25,Saturday,True
2023-03-26,2023,3,March,Q1,26,Sunday,True
2023-03-27,2023,3,March,Q1,27,Monday,False
2023-03-28,2023,3,March,Q1,28,Tuesday,False
2023-03-29,2023,3,March,Q1,29,Wednesday,False
2023-03-30,2023,3,March,Q1,30,Thursday,False
2023-03-31,2023,3,March,Q1,31,Friday,False
2023-04-01,2023,4,April,Q2,1,Saturday,True
2023-04-02,2023,4,April,Q2,2,Sunday,True
2023-04-03,2023,4,April,Q2,3,Monday,False
2023-04-04,2023,4,April,Q2,4,Tuesday,False
2023-04-05,2023,4,April,Q2,5,Wednesday,False
2023-04-06,2023,4,April,Q2,6,Thursday,False
2023-04-07,2023,4,April,Q2,7,Friday,False
2023-04-08,2023,4,April,Q2,8,Saturday,True
2023-04-09,2023,4,April,Q2,9,Sunday,True
2023-04-10,2023,4,April,Q2,10,Monday,False
2023-04-11,2023,4,April,Q2,11,Tuesday,False
2023-04-12,2023,4,April,Q2,12,Wednesday,False
2023-04-13,2023,4,April,Q2,13,Thursday,False
2023-04-14,2023,4,April,Q2,14,Friday,False
2023-04-15,2023,4,April,Q2,15,Saturday,True
2023-04-16,2023,4,April,Q2,16,Sunday,True
2023-04-17,2023,4,April,Q2,17,Monday,False
2023-04-18,2023,4,April,Q2,18,Tuesday,False
2023-04-19,2023,4,April,Q2,19,Wednesday,False
2023-04-20,2023,4,April,Q2,20,Thursday,False
2023-04-21,2023,4,April,Q2,21,Friday,False
2023-04-22,2023,4,April,Q2,22,Saturday,True
2023-04-23,2023,4,April,Q2,23,Sunday,True
2023-04-24,2023,4,April,Q2,24,Monday,False
2023-04-25,2023,4,April,Q2,25,Tuesday,False
2023-04-26,2023,4,April,Q2,26,Wednesday,False
2023-04-27,2023,4,April,Q2,27,Thursday,False
2023-04-28,2023,4,April,Q2,28,Friday,False
2023-04-29,2023,4,April,Q2,29,Saturday,True
2023-04-30,2023,4,April,Q2,30,Sunday,True
2023-05-01,2023,5,May,Q2,1,Monday,False
2023-05-02,2023,5,May,Q2,2,Tuesday,False
2023-05-03,2023,5,May,Q2,3,Wednesday,False
2023-05-04,2023,5,May,Q2,4,Thursday,False
2023-05-05,2023,5,May,Q2,5,Friday,False
2023-05-06,2023,5,May,Q2,6,Saturday,True
2023-05-07,2023,5,May,Q2,7,Sunday,True
2023-05-08,2023,5,May,Q2,8,Monday,False
2023-05-09,2023,5,May,Q2,9,Tuesday,False
2023-05-10,2023,5,May,Q2,10,Wednesday,False
2023-05-11,2023,5,May,Q2,11,Thursday,False
2023-05-12,2023,5,May,Q2,12,Friday,False
2023-05-13,2023,5,May,Q2,13,Saturday,True
2023-05-14,2023,5,May,Q2,14,Sunday,True
2023-05-15,2023,5,May,Q2,15,Monday,False
2023-05-16,2023,5,May,Q2,16,Tuesday,False
2023-05-17,2023,5,May,Q2,17,Wednesday,False
2023-05-18,2023,5,May,Q2,18,Thursday,False
2023-05-19,2023,5,May,Q2,19,Friday,False
2023-05-20,2023,5,May,Q2,20,Saturday,True
2023-05-21,2023,5,May,Q2,21,Sunday,True
2023-05-22,2023,5,May,Q2,22,Monday,False
2023-05-23,2023,5,May,Q2,23,Tuesday,False
2023-05-24,2023,5,May,Q2,24,Wednesday,False
2023-05-25,2023,5,May,Q2,25,Thursday,False
2023-05-26,2023,5,May,Q2,26,Friday,False
2023-05-27,2023,5,May,Q2,27,Saturday,True
2023-05-28,2023,5,May,Q2,28,Sunday,True
2023-05-29,2023,5,May,Q2,29,Monday,False
2023-05-30,2023,5,May,Q2,30,Tuesday,False
2023-05-31,2023,5,May,Q2,31,Wednesday,False
2023-06-01,2023,6,June,Q2,1,Thursday,False
2023-06-02,2023,6,June,Q2,2,Friday,False
2023-06-03,2023,6,June,Q2,3,Saturday,True
2023-06-04,2023,6,June,Q2,4,Sunday,True
2023-06-05,2023,6,June,Q2,5,Monday,False
2023-06-06,2023,6,June,Q2,6,Tuesday,False
2023-06-07,2023,6,June,Q2,7,Wednesday,False
2023-06-08,2023,6,June,Q2,8,Thursday,False
2023-06-09,2023,6,June,Q2,9,Friday,False
2023-06-10,2023,6,June,Q2,10,Saturday,True
2023-06-11,2023,6,June,Q2,11,Sunday,True
2023-06-12,2023,6,June,Q2,12,Monday,False
2023-06-13,2023,6,June,Q2,13,Tuesday,False
2023-06-14,2023,6,June,Q2,14,Wednesday,False
2023-06-15,2023,6,June,Q2,15,Thursday,False
2023-06-16,2023,6,June,Q2,16,Friday,False
2023-06-17,2023,6,June,Q2,17,Saturday,True
2023-06-18,2023,6,June,Q2,18,Sunday,True
2023-06-19,2023,6,June,Q2,19,Monday,False
2023-06-20,2023,6,June,Q2,20,Tuesday,False
2023-06-21,2023,6,June,Q2,21,Wednesday,False
2023-06-22,2023,6,June,Q2,22,Thursday,False
2023-06-23,2023,6,June,Q2,23,Friday,False
2023-06-24,2023,6,June,Q2,24,Saturday,True
2023-06-25,2023,6,June,Q2,25,Sunday,True
2023-06-26,2023,6,June,Q2,26,Monday,False
2023-06-27,2023,6,June,Q2,27,Tuesday,False
2023-06-28,2023,6,June,Q2,28,Wednesday,False
2023-06-29,2023,6,June,Q2,29,Thursday,False
2023-06-30,2023,6,June,Q2,30,Friday,False
2023-07-01,2023,7,July,Q3,1,Saturday,True
2023-07-02,2023,7,July,Q3,2,Sunday,True
2023-07-03,2023,7,July,Q3,3,Monday,False
2023-07-04,2023,7,July,Q3,4,Tuesday,False
2023-07-05,2023,7,July,Q3,5,Wednesday,False
2023-07-06,2023,7,July,Q3,6,Thursday,False
2023-07-07,2023,7,July,Q3,7,Friday,False
2023-07-08,2023,7,July,Q3,8,Saturday,True
2023-07-09,2023,7,July,Q3,9,Sunday,True
2023-07-10,2023,7,July,Q3,10,Monday,False
2023-07-11,2023,7,July,Q3,11,Tuesday,False
2023-07-12,2023,7,July,Q3,12,Wednesday,False
2023-07-13,2023,7,July,Q3,13,Thursday,False
2023-07-14,2023,7,July,Q3,14,Friday,False
2023-07-15,2023,7,July,Q3,15,Saturday,True
2023-07-16,2023,7,July,Q3,16,Sunday,True
2023-07-17,2023,7,July,Q3,17,Monday,False
2023-07-18,2023,7,July,Q3,18,Tuesday,False
2023-07-19,2023,7,July,Q3,19,Wednesday,False
2023-07-20,2023,7,July,Q3,20,Thursday,False
2023-07-21,2023,7,July,Q3,21,Friday,False
2023-07-22,2023,7,July,Q3,22,Saturday,True
2023-07-23,2023,7,July,Q3,23,Sunday,True
2023-07-24,2023,7,July,Q3,24,Monday,False
2023-07-25,2023,7,July,Q3,25,Tuesday,False
2023-07-26,2023,7,July,Q3,26,Wednesday,False
2023-07-27,2023,7,July,Q3,27,Thursday,False
2023-07-28,2023,7,July,Q3,28,Friday,False
2023-07-29,2023,7,July,Q3,29,Saturday,True
2023-07-30,2023,7,July,Q3,30,Sunday,True
2023-07-31,2023,7,July,Q3,31,Monday,False
2023-08-01,2023,8,August,Q3,1,Tuesday,False
2023-08-02,2023,8,August,Q3,2,Wednesday,False
2023-08-03,2023,8,August,Q3,3,Thursday,False
2023-08-04,2023,8,August,Q3,4,Friday,False
2023-08-05,2023,8,August,Q3,5,Saturday,True
2023-08-06,2023,8,August,Q3,6,Sunday,True
2023-08-07,2023,8,August,Q3,7,Monday,False
2023-08-08,2023,8,August,Q3,8,Tuesday,False
2023-08-09,2023,8,August,Q3,9,Wednesday,False
2023-08-10,2023,8,August,Q3,10,Thursday,False
2023-08-11,2023,8,August,Q3,11,Friday,False
2023-08-12,2023,8,August,Q3,12,Saturday,True
2023-08-13,2023,8,August,Q3,13,Sunday,True
2023-08-14,2023,8,August,Q3,14,Monday,False
2023-08-15,2023,8,August,Q3,15,Tuesday,False
2023-08-16,2023,8,August,Q3,16,Wednesday,False
2023-08-17,2023,8,August,Q3,17,Thursday,False
2023-08-18,2023,8,August,Q3,18,Friday,False
2023-08-19,2023,8,August,Q3,19,Saturday,True
2023-08-20,2023,8,August,Q3,20,Sunday,True
2023-08-21,2023,8,August,Q3,21,Monday,False
2023-08-22,2023,8,August,Q3,22,Tuesday,False
2023-08-23,2023,8,August,Q3,23,Wednesday,False
2023-08-24,2023,8,August,Q3,24,Thursday,False
2023-08-25,2023,8,August,Q3,25,Friday,False
2023-08-26,2023,8,August,Q3,26,Saturday,True
2023-08-27,2023,8,August,Q3,27,Sunday,True
2023-08-28,2023,8,August,Q3,28,Monday,False
2023-08-29,2023,8,August,Q3,29,Tuesday,False
2023-08-30,2023,8,August,Q3,30,Wednesday,False
2023-08-31,2023,8,August,Q3,31,Thursday,False
2023-09-01,2023,9,September,Q3,1,Friday,False
2023-09-02,2023,9,September,Q3,2,Saturday,True
2023-09-03,2023,9,September,Q3,3,Sunday,True
2023-09-04,2023,9,September,Q3,4,Monday,False
2023-09-05,2023,9,September,Q3,5,Tuesday,False
2023-09-06,2023,9,September,Q3,6,Wednesday,False
2023-09-07,2023,9,September,Q3,7,Thursday,False
2023-09-08,2023,9,September,Q3,8,Friday,False
2023-09-09,2023,9,September,Q3,9,Saturday,True
2023-09-10,2023,9,September,Q3,10,Sunday,True
2023-09-11,2023,9,September,Q3,11,Monday,False
2023-09-12,2023,9,September,Q3,12,Tuesday,False
2023-09-13,2023,9,September,Q3,13,Wednesday,False
2023-09-14,2023,9,September,Q3,14,Thursday,False
2023-09-15,2023,9,September,Q3,15,Friday,False
2023-09-16,2023,9,September,Q3,16,Saturday,True
2023-09-17,2023,9,September,Q3,17,Sunday,True
2023-09-18,2023,9,September,Q3,18,Monday,False
2023-09-19,2023,9,September,Q3,19,Tuesday,False
2023-09-20,2023,9,September,Q3,20,Wednesday,False
2023-09-21,2023,9,September,Q3,21,Thursday,False
2023-09-22,2023,9,September,Q3,22,Friday,False
2023-09-23,2023,9,September,Q3,23,Saturday,True
2023-09-24,2023,9,September,Q3,24,Sunday,True
2023-09-25,2023,9,September,Q3,25,Monday,False
2023-09-26,2023,9,September,Q3,26,Tuesday,False
2023-09-27,2023,9,September,Q3,27,Wednesday,False
2023-09-28,2023,9,September,Q3,28,Thursday,False
2023-09-29,2023,9,September,Q3,29,Friday,False
2023-09-30,2023,9,September,Q3,30,Saturday,True
2023-10-01,2023,10,October,Q4,1,Sunday,True
2023-10-02,2023,10,October,Q4,2,Monday,False
2023-10-03,2023,10,October,Q4,3,Tuesday,False
2023-10-04,2023,10,October,Q4,4,Wednesday,False
2023-10-05,2023,10,October,Q4,5,Thursday,False
2023-10-06,2023,10,October,Q4,6,Friday,False
2023-10-07,2023,10,October,Q4,7,Saturday,True
2023-10-08,2023,10,October,Q4,8,Sunday,True
2023-10-09,2023,10,October,Q4,9,Monday,False
2023-10-10,2023,10,October,Q4,10,Tuesday,False
2023-10-11,2023,10,October,Q4,11,Wednesday,False
2023-10-12,2023,10,October,Q4,12,Thursday,False
2023-10-13,2023,10,October,Q4,13,Friday,False
2023-10-14,2023,10,October,Q4,14,Saturday,True
2023-10-15,2023,10,October,Q4,15,Sunday,True
2023-10-16,2023,10,October,Q4,16,Monday,False
2023-10-17,2023,10,October,Q4,17,Tuesday,False
2023-10-18,2023,10,October,Q4,18,Wednesday,False
2023-10-19,2023,10,October,Q4,19,Thursday,False
2023-10-20,2023,10,October,Q4,20,Friday,False
2023-10-21,2023,10,October,Q4,21,Saturday,True
2023-10-22,2023,10,October,Q4,22,Sunday,True
2023-10-23,2023,10,October,Q4,23,Monday,False
2023-10-24,2023,10,October,Q4,24,Tuesday,False
2023-10-25,2023,10,October,Q4,25,Wednesday,False
2023-10-26,2023,10,October,Q4,26,Thursday,False
2023-10-27,2023,10,October,Q4,27,Friday,False
2023-10-28,2023,10,October,Q4,28,Saturday,True
2023-10-29,2023,10,October,Q4,29,Sunday,True
2023-10-30,2023,10,October,Q4,30,Monday,False
2023-10-31,2023,10,October,Q4,31,Tuesday,False
2023-11-01,2023,11,November,Q4,1,Wednesday,False
2023-11-02,2023,11,November,Q4,2,Thursday,False
2023-11-03,2023,11,November,Q4,3,Friday,False
2023-11-04,2023,11,November,Q4,4,Saturday,True
2023-11-05,2023,11,November,Q4,5,Sunday,True
2023-11-06,2023,11,November,Q4,6,Monday,False
2023-11-07,2023,11,November,Q4,7,Tuesday,False
2023-11-08,2023,11,November,Q4,8,Wednesday,False
2023-11-09,2023,11,November,Q4,9,Thursday,False
2023-11-10,2023,11,November,Q4,10,Friday,False
2023-11-11,2023,11,November,Q4,11,Saturday,True
2023-11-12,2023,11,November,Q4,12,Sunday,True
2023-11-13,2023,11,November,Q4,13,Monday,False
2023-11-14,2023,11,November,Q4,14,Tuesday,False
2023-11-15,2023,11,November,Q4,15,Wednesday,False
2023-11-16,2023,11,November,Q4,16,Thursday,False
2023-11-17,2023,11,November,Q4,17,Friday,False
2023-11-18,2023,11,November,Q4,18,Saturday,True
2023-11-19,2023,11,November,Q4,19,Sunday,True
2023-11-20,2023,11,November,Q4,20,Monday,False
2023-11-21,2023,11,November,Q4,21,Tuesday,False
2023-11-22,2023,11,November,Q4,22,Wednesday,False
2023-11-23,2023,11,November,Q4,23,Thursday,False
2023-11-24,2023,11,November,Q4,24,Friday,False
2023-11-25,2023,11,November,Q4,25,Saturday,True
2023-11-26,2023,11,November,Q4,26,Sunday,True
2023-11-27,2023,11,November,Q4,27,Monday,False
